UDI,Type,Air_temperature[K],Process_temperature[K],Rotational_speed[rpm],Torque[Nm],Tool_wear[min],Machine_failure,Power[W],strain,Temperature_difference
52,M,295.6,305.4,1516.0,32.0,153,0,5080.16,4896.0,9.799999999999955
53,H,300.9,309.7,1613.0,40.4,16,0,6824.08,646.4,8.800000000000011
54,M,299.0,307.4,1161.0,43.4,37,1,5276.56,1605.8,8.399999999999977
55,L,303.5,313.9,1773.0,47.8,66,0,8874.94,3154.7999999999997,10.399999999999977
56,H,303.1,312.3,1046.5,49.6,56,0,5435.63,2777.6,9.199999999999989
57,L,300.1,310.7,1458.0,43.5,160,0,6641.64,6960.0,10.599999999999966
58,L,303.1,311.7,1252.0,42.2,93,0,5532.81,3924.6000000000004,8.599999999999966
59,L,303.6,313.0,1448.0,56.3,206,1,8537.01,11597.8,9.399999999999977
60,L,300.1,308.8,1524.0,39.9,71,0,6367.76,2832.9,8.699999999999989
61,L,304.9,315.4,1323.0,45.8,93,0,6345.33,4259.4,10.5
62,L,299.9,310.6,1046.5,43.1,63,0,4723.3,2715.3,10.700000000000045
63,M,299.6,309.9,1575.0,38.2,22,0,6300.46,840.4000000000001,10.299999999999955
64,L,301.7,310.6,1911.0,38.2,11,0,7644.56,420.20000000000005,8.900000000000034
65,L,299.3,308.5,1475.0,53.1,102,0,8201.91,5416.2,9.199999999999989
66,L,300.2,310.4,1709.0,39.0,239,0,6979.68,9321.0,10.199999999999989
67,L,302.8,311.1,1807.0,36.4,7,0,6887.92,254.79999999999998,8.300000000000011
68,M,300.0,309.8,1197.0,32.6,200,0,4086.4,6520.0,9.800000000000011
69,L,296.6,308.1,1456.0,44.1,199,0,6724.01,8775.9,11.5
70,H,300.7,310.6,1309.0,34.8,37,0,4770.32,1287.6,9.900000000000034
71,M,298.6,307.1,1393.0,43.2,32,0,6301.78,1382.4,8.5
72,L,301.7,311.1,1842.0,41.7,175,0,8043.67,7297.500000000001,9.400000000000034
73,L,301.4,310.8,1578.0,35.6,96,0,5882.82,3417.6000000000004,9.400000000000034
74,M,302.9,315.1,1679.0,26.0,44,0,4571.44,1144.0,12.200000000000045
75,M,301.8,313.5,1530.0,29.6,74,0,4742.55,2190.4,11.699999999999989
76,M,302.2,312.9,1321.0,31.2,150,0,4316.05,4680.0,10.699999999999989
77,M,298.7,308.3,1659.0,29.9,106,0,5194.53,3169.3999999999996,9.600000000000023
78,L,301.6,312.8,1762.0,44.4,242,0,8192.52,10744.8,11.199999999999989
79,L,303.9,312.8,1594.0,61.1,114,0,10199.01,6965.400000000001,8.900000000000034
80,L,298.6,309.7,1625.0,34.8,42,0,5921.9,1461.6,11.099999999999966
81,M,303.6,314.5,1316.0,36.1,24,0,4974.98,866.4000000000001,10.899999999999977
82,M,298.9,308.7,1664.0,34.1,14,0,5942.05,477.40000000000003,9.800000000000011
83,L,298.3,309.4,1778.0,48.4,9,0,9011.68,435.59999999999997,11.099999999999966
84,L,300.6,310.1,1610.0,44.1,147,0,7435.21,6482.7,9.5
85,L,301.4,310.2,1216.0,39.7,15,0,5055.37,595.5,8.800000000000011
86,L,301.8,312.8,1830.0,27.8,98,0,5327.51,2724.4,11.0
87,M,298.1,308.0,1368.0,30.3,124,0,4340.68,3757.2000000000003,9.899999999999977
88,M,300.9,311.5,1607.0,41.6,97,0,7000.64,4035.2000000000003,10.600000000000023
89,M,298.6,310.4,1708.0,42.1,212,0,7530.06,8925.2,11.799999999999955
90,L,297.0,306.3,1731.0,39.7,56,0,7196.41,2223.2000000000003,9.300000000000011
91,L,298.1,308.0,1215.0,46.5,45,0,5916.4,2092.5,9.899999999999977
92,M,298.5,310.1,1558.0,27.7,110,0,4519.35,3047.0,11.600000000000023
93,M,301.0,311.7,1547.0,42.9,123,0,6949.86,5276.7,10.699999999999989
94,L,302.3,311.6,1795.0,42.4,247,0,7970.01,10472.8,9.300000000000011
95,M,297.1,306.1,1620.0,30.4,231,0,5157.24,7022.4,9.0
96,L,300.7,310.2,1797.0,33.9,128,0,6379.35,4339.2,9.5
97,L,297.6,306.9,1634.0,46.8,24,0,8008.05,1123.1999999999998,9.299999999999955
98,L,301.3,311.5,1524.0,28.6,55,0,4564.36,1573.0,10.199999999999989
99,L,298.8,308.8,1572.0,64.4,45,0,10601.49,2898.0000000000005,10.0
100,L,297.9,308.2,1810.0,45.4,186,0,8605.24,8444.4,10.300000000000011
101,L,301.6,310.8,1305.0,39.3,189,0,5370.71,7427.7,9.199999999999989
102,M,298.8,308.8,1700.0,37.4,205,0,6658.08,7667.0,10.0
103,L,299.4,307.3,1425.0,47.8,188,0,7132.99,8986.4,7.900000000000034
104,L,295.6,305.7,1387.0,35.8,210,0,5199.82,7517.999999999999,10.099999999999966
105,H,301.9,313.1,1721.0,36.2,7,0,6524.06,253.40000000000003,11.200000000000045
106,L,301.6,310.2,1379.0,54.4,40,1,7855.82,2176.0,8.599999999999966
107,L,300.0,310.5,1605.0,35.2,142,0,5916.25,4998.400000000001,10.5
108,M,296.9,306.3,1450.0,41.3,43,0,6271.14,1775.8999999999999,9.400000000000034
109,L,302.4,313.2,1116.0,32.3,81,0,3774.81,2616.2999999999997,10.800000000000011
110,L,298.7,308.8,1623.0,42.5,128,0,7223.31,5440.0,10.100000000000023
111,L,299.1,309.5,1560.0,45.7,110,0,7465.68,5027.0,10.399999999999977
112,L,304.6,314.7,1196.0,56.7,224,1,7101.38,12700.800000000001,10.099999999999966
113,H,298.6,309.9,1412.0,30.6,192,0,4524.65,5875.200000000001,11.299999999999955
114,M,301.5,311.8,1214.0,25.5,116,0,3241.81,2958.0,10.300000000000011
115,M,301.1,310.4,1668.0,37.2,161,0,6497.82,5989.200000000001,9.299999999999955
116,M,300.8,310.9,1786.0,33.8,131,0,6321.6,4427.799999999999,10.099999999999966
117,M,300.6,310.2,1690.0,39.7,80,0,7025.96,3176.0,9.599999999999966
118,L,300.8,310.9,1715.0,45.1,129,0,8099.71,5817.900000000001,10.099999999999966
119,M,300.5,310.1,1445.0,62.5,166,0,9457.5,10375.0,9.600000000000023
120,L,299.9,309.2,1635.0,35.4,248,0,6061.07,8779.199999999999,9.300000000000011
121,M,303.0,313.2,1536.0,17.9,181,0,2879.21,3239.8999999999996,10.199999999999989
122,M,297.4,307.4,1571.0,37.5,137,0,6169.3,5137.5,10.0
123,L,302.0,313.1,1709.0,43.4,41,0,7767.13,1779.3999999999999,11.100000000000023
124,L,301.6,311.2,1748.0,30.2,44,0,5528.11,1328.8,9.599999999999966
125,L,301.4,309.4,1468.0,42.2,100,0,6487.35,4220.0,8.0
126,L,302.2,311.9,1286.0,41.3,153,0,5561.85,6318.9,9.699999999999989
127,M,299.8,308.2,1504.0,42.5,26,0,6693.69,1105.0,8.399999999999977
128,M,296.3,306.7,1498.0,47.8,166,0,7498.4,7934.799999999999,10.399999999999977
129,L,299.9,308.2,1588.0,39.1,152,0,6502.13,5943.2,8.300000000000011
130,L,298.0,307.0,1687.0,45.4,28,0,8020.47,1271.2,9.0
131,L,298.5,308.2,1195.0,22.0,109,0,2753.08,2398.0,9.699999999999989
132,L,297.5,309.1,1417.0,30.3,209,0,4496.15,6332.7,11.600000000000023
133,L,299.0,308.0,1365.0,36.5,21,0,5217.4,766.5,9.0
134,L,298.8,308.8,1761.0,29.9,114,0,5513.9,3408.6,10.0
135,H,295.2,305.8,1500.0,40.0,89,0,6283.19,3560.0,10.600000000000023
136,L,301.4,312.9,1446.0,36.5,187,0,5527.0,6825.5,11.5
137,L,304.4,315.2,1634.0,35.4,89,0,6057.37,3150.6,10.800000000000011
138,M,301.2,312.3,1431.0,48.7,179,0,7297.89,8717.300000000001,11.100000000000023
139,L,299.6,310.5,1535.0,40.7,84,0,6542.31,3418.8,10.899999999999977
140,H,299.9,308.7,1862.0,29.1,148,0,5674.16,4306.8,8.800000000000011
141,H,299.2,309.5,1857.0,33.9,105,0,6592.35,3559.5,10.300000000000011
142,L,300.2,311.0,1465.0,47.4,135,0,7271.84,6399.0,10.800000000000011
143,L,299.9,309.0,1505.0,41.9,116,0,6603.58,4860.4,9.100000000000023
144,L,298.3,307.7,1427.0,51.8,65,0,7740.74,3367.0,9.399999999999977
145,L,303.4,312.6,1193.0,48.3,237,1,6034.15,11447.099999999999,9.200000000000045
146,L,297.0,307.8,1723.0,36.0,225,0,6495.56,8100.0,10.800000000000011
147,M,301.4,311.4,1971.0,54.2,203,0,11187.02,11002.6,10.0
148,L,299.8,309.5,1458.0,55.0,112,0,8397.48,6160.0,9.699999999999989
149,L,303.8,312.5,1391.0,22.1,17,0,3219.2,375.70000000000005,8.699999999999989
150,L,300.7,310.6,1489.0,40.2,80,0,6268.29,3216.0,9.900000000000034
151,H,299.3,308.7,1553.0,34.4,142,0,5594.46,4884.8,9.399999999999977
152,L,299.5,309.7,1334.0,37.3,2,0,5210.67,74.6,10.199999999999989
153,L,300.1,308.9,1455.0,31.8,84,0,4845.28,2671.2000000000003,8.799999999999955
154,L,297.7,307.9,1719.0,30.5,82,0,5490.4,2501.0,10.199999999999989
155,H,298.5,308.0,1560.0,48.9,58,0,7988.44,2836.2,9.5
156,L,296.4,305.2,1765.0,28.3,182,0,5230.7,5150.6,8.800000000000011
157,M,298.2,306.8,1603.0,40.8,121,0,6848.92,4936.799999999999,8.600000000000023
158,M,300.2,309.0,1343.0,26.5,159,0,3726.92,4213.5,8.800000000000011
159,L,300.6,310.4,1434.0,52.5,10,0,7883.83,525.0,9.799999999999955
160,M,296.0,306.2,1582.0,40.2,209,0,6659.8,8401.800000000001,10.199999999999989
161,L,299.7,310.0,1337.0,47.3,180,0,6622.49,8514.0,10.300000000000011
162,M,301.1,311.4,1313.0,41.8,156,0,5747.38,6520.799999999999,10.299999999999955
163,M,299.7,308.9,1324.0,37.4,66,0,5185.47,2468.4,9.199999999999989
164,L,298.7,309.8,1630.0,40.6,241,0,6930.14,9784.6,11.100000000000023
165,L,299.2,308.7,1472.0,54.9,131,0,8462.7,7191.9,9.5
166,M,298.9,309.4,1749.0,31.0,219,0,5677.8,6789.0,10.5
167,L,298.7,308.6,1377.0,14.5,136,0,2090.89,1972.0,9.900000000000034
168,L,300.3,310.7,1098.0,32.1,56,0,3690.93,1797.6000000000001,10.399999999999977
169,L,304.6,314.4,1514.0,27.9,165,0,4423.43,4603.5,9.799999999999955
170,L,298.5,308.9,1832.0,49.5,6,0,9496.41,297.0,10.399999999999977
171,M,299.4,309.4,1544.0,38.1,192,0,6160.29,7315.200000000001,10.0
172,L,299.9,310.7,1292.0,48.1,162,0,6507.83,7792.2,10.800000000000011
173,L,298.6,307.8,1247.0,40.2,174,0,5249.54,6994.8,9.199999999999989
174,L,302.2,310.4,1752.0,40.0,33,0,7338.76,1320.0,8.199999999999989
175,M,295.3,304.3,1393.0,41.5,62,0,6053.8,2573.0,9.0
176,L,298.9,310.0,1813.0,54.6,8,0,10366.19,436.8,11.100000000000023
177,M,301.6,311.5,1655.0,41.8,89,0,7244.41,3720.2,9.899999999999977
178,L,299.4,309.5,1400.0,50.9,199,0,7462.33,10129.1,10.100000000000023
179,H,298.4,307.3,1746.0,50.3,18,0,9196.89,905.4,8.900000000000034
180,L,300.9,310.9,1372.0,38.3,153,0,5502.77,5859.9,10.0
181,L,301.8,310.8,1278.0,39.2,173,0,5246.21,6781.6,9.0
182,L,300.4,309.5,1382.0,36.1,55,0,5224.49,1985.5,9.100000000000023
183,H,298.4,308.0,1675.0,52.7,9,0,9243.87,474.3,9.600000000000023
184,M,300.9,311.4,1741.0,30.5,119,0,5560.67,3629.5,10.5
185,L,299.2,309.7,1467.0,32.7,170,0,5023.5,5559.000000000001,10.5
186,M,301.5,312.1,1203.0,37.1,157,0,4673.78,5824.7,10.600000000000023
187,M,303.0,311.4,1259.0,28.5,39,1,3757.5,1111.5,8.399999999999977
188,L,294.8,304.8,1346.0,34.0,227,0,4792.39,7718.0,10.0
189,L,300.2,310.0,1306.0,51.2,182,0,7002.32,9318.4,9.800000000000011
190,L,296.5,305.0,1585.0,46.4,185,0,7701.51,8584.0,8.5
191,L,304.9,314.9,1884.0,35.7,30,0,7043.33,1071.0,10.0
192,M,299.1,308.8,1680.0,47.9,199,0,8427.01,9532.1,9.699999999999989
193,H,301.5,312.0,1336.0,60.6,233,1,8478.28,14119.800000000001,10.5
194,M,299.9,310.0,1413.0,43.0,46,0,6362.67,1978.0,10.100000000000023
195,L,298.4,307.8,1448.0,54.0,204,1,8188.25,11016.0,9.400000000000034
196,L,298.2,309.1,1607.0,48.4,36,0,8144.98,1742.3999999999999,10.900000000000034
197,M,303.2,311.0,1819.0,37.0,221,0,7047.95,8177.0,7.800000000000011
198,M,301.9,311.8,1454.0,41.9,184,0,6379.8,7709.599999999999,9.900000000000034
199,M,303.9,312.1,1813.0,45.1,78,0,8562.55,3517.8,8.200000000000045
200,M,300.1,309.2,1914.0,32.5,184,0,6514.09,5980.0,9.099999999999966
201,M,300.6,311.1,1475.0,13.9,98,0,2147.02,1362.2,10.5
202,L,299.5,308.2,1470.0,31.6,130,0,4864.44,4108.0,8.699999999999989
203,L,299.4,308.0,1473.0,18.4,156,0,2838.24,2870.3999999999996,8.600000000000023
204,M,297.9,310.3,1549.0,32.4,215,0,5255.63,6966.0,12.400000000000034
205,M,300.2,308.8,1473.0,22.9,44,0,3532.38,1007.5999999999999,8.600000000000023
206,L,298.4,310.1,1696.0,48.7,86,0,8649.35,4188.2,11.700000000000045
207,L,300.9,310.7,1260.0,28.1,72,0,3707.71,2023.2,9.800000000000011
208,M,300.3,309.8,1442.0,45.3,1,0,6840.57,45.3,9.5
209,L,300.6,311.1,1596.0,47.5,142,0,7938.8,6745.0,10.5
210,L,303.4,314.7,1693.0,46.9,223,0,8314.93,10458.699999999999,11.300000000000011
211,L,299.9,308.8,1930.0,21.3,145,0,4304.92,3088.5,8.900000000000034
212,M,301.5,311.0,1307.0,51.1,246,1,6993.99,12570.6,9.5
213,M,304.1,314.9,1421.0,44.1,156,0,6562.38,6879.6,10.799999999999955
214,L,302.6,312.9,1132.0,47.9,39,0,5678.2,1868.1,10.299999999999955
215,M,302.3,313.4,1339.0,58.1,2,0,8146.77,116.2,11.099999999999966
216,L,299.4,309.9,1221.0,47.8,224,0,6111.84,10707.199999999999,10.5
217,L,300.5,312.3,1444.0,28.1,57,0,4249.15,1601.7,11.800000000000011
218,M,297.4,307.5,1497.0,46.4,70,0,7273.92,3248.0,10.100000000000023
219,M,301.0,311.2,1622.0,24.9,93,0,4229.4,2315.7,10.199999999999989
220,M,300.5,310.9,1484.0,39.3,218,0,6107.38,8567.4,10.399999999999977
221,M,300.0,309.9,1622.0,34.9,165,0,5927.95,5758.5,9.899999999999977
222,L,302.1,312.9,1558.0,40.0,156,0,6526.14,6240.0,10.799999999999955
223,L,297.6,307.8,1353.0,24.9,158,0,3527.98,3934.2,10.199999999999989
224,L,303.3,314.1,1236.0,26.0,125,0,3365.27,3250.0,10.800000000000011
225,L,301.8,312.7,1642.0,35.4,192,0,6087.02,6796.799999999999,10.899999999999977
226,L,299.9,310.3,1832.0,37.7,104,0,7232.62,3920.8,10.400000000000034
227,H,299.7,310.2,1991.0,35.7,42,0,7443.34,1499.4,10.5
228,L,301.0,310.0,1705.0,54.3,154,0,9695.11,8362.199999999999,9.0
229,M,303.0,312.5,1798.0,44.1,154,0,8303.42,6791.400000000001,9.5
230,M,300.2,311.0,1620.0,43.8,117,0,7430.49,5124.599999999999,10.800000000000011
231,M,300.3,311.7,1592.0,36.1,220,0,6018.37,7942.0,11.399999999999977
232,L,300.0,308.1,1557.0,26.0,68,0,4239.27,1768.0,8.100000000000023
233,L,303.6,313.0,1519.0,39.9,2,0,6346.87,79.8,9.399999999999977
234,L,299.3,309.3,1646.0,57.9,156,0,9980.15,9032.4,10.0
235,L,299.9,309.1,1444.0,42.1,232,1,6366.17,9767.2,9.200000000000045
236,M,302.9,312.1,1511.0,51.0,102,0,8069.81,5202.0,9.200000000000045
237,L,300.3,310.8,1327.0,52.2,243,1,7253.87,12684.6,10.5
238,L,302.3,313.9,1623.0,45.5,140,0,7733.19,6370.0,11.599999999999966
239,M,298.2,306.1,1366.0,42.1,96,1,6022.29,4041.6000000000004,7.900000000000034
240,L,299.6,309.4,1544.0,30.1,59,0,4866.79,1775.9,9.799999999999955
241,H,303.0,313.4,1627.0,37.8,83,0,6440.33,3137.3999999999996,10.399999999999977
242,H,298.6,309.4,1642.0,36.3,66,0,6241.78,2395.7999999999997,10.799999999999955
243,H,299.7,310.0,1676.0,43.2,197,0,7582.05,8510.400000000001,10.300000000000011
244,L,300.5,312.3,1499.0,25.8,106,0,4049.95,2734.8,11.800000000000011
245,L,298.0,308.1,1625.0,34.5,80,0,5870.85,2760.0,10.100000000000023
246,H,299.2,310.5,1450.0,43.9,122,0,6665.94,5355.8,11.300000000000011
247,L,300.2,309.6,1185.0,32.9,46,0,4082.66,1513.3999999999999,9.400000000000034
248,H,300.1,310.2,1632.0,30.8,195,0,5263.8,6006.0,10.099999999999966
249,H,302.6,311.3,1591.0,32.0,96,0,5331.49,3072.0,8.699999999999989
250,M,303.1,314.0,1719.0,37.2,160,0,6696.49,5952.0,10.899999999999977
251,L,298.3,308.2,1533.0,16.2,5,0,2600.67,81.0,9.899999999999977
252,L,300.2,310.6,1251.0,32.5,117,0,4257.64,3802.5,10.400000000000034
253,M,301.3,311.0,1521.0,49.4,191,0,7868.37,9435.4,9.699999999999989
254,L,303.0,313.6,1696.0,43.1,232,0,7654.76,9999.2,10.600000000000023
255,L,301.4,311.8,1623.0,44.1,77,0,7495.24,3395.7000000000003,10.400000000000034
256,L,300.6,309.6,1511.0,21.7,237,0,3433.62,5142.9,9.0
257,H,301.3,310.4,1240.0,35.8,198,0,4648.72,7088.4,9.099999999999966
258,M,301.3,311.3,1354.0,38.7,69,0,5487.29,2670.3,10.0
259,L,298.1,308.8,1623.0,44.5,178,0,7563.23,7921.0,10.699999999999989
260,L,300.4,312.2,1239.0,51.0,66,0,6617.14,3366.0,11.800000000000011
261,M,302.9,313.2,1481.0,49.4,100,0,7661.44,4940.0,10.300000000000011
262,H,299.6,310.6,1544.0,34.1,149,0,5513.54,5080.900000000001,11.0
263,L,300.3,308.6,1743.0,34.3,229,0,6260.66,7854.699999999999,8.300000000000011
264,L,299.5,311.5,1647.0,54.0,199,0,9313.57,10746.0,12.0
265,M,295.4,306.0,1710.0,36.3,23,0,6500.27,834.9,10.600000000000023
266,M,300.0,310.0,1592.0,29.1,204,0,4851.37,5936.400000000001,10.0
267,M,300.6,310.4,1386.0,37.8,204,0,5486.35,7711.2,9.799999999999955
268,M,299.0,307.9,1428.0,53.3,64,0,7970.47,3411.2,8.899999999999977
269,L,297.7,306.9,1371.0,30.9,242,0,4436.34,7477.799999999999,9.199999999999989
270,L,298.2,310.1,1643.0,35.6,180,0,6125.14,6408.0,11.900000000000034
271,M,301.5,310.5,1413.0,31.3,127,0,4631.43,3975.1,9.0
272,M,303.9,312.9,1467.0,49.4,168,0,7589.02,8299.199999999999,9.0
273,M,302.8,312.1,1542.0,42.8,99,0,6911.25,4237.2,9.300000000000011
274,H,297.3,306.1,1831.0,49.1,31,0,9414.53,1522.1000000000001,8.800000000000011
275,L,301.7,311.7,1655.0,55.5,68,0,9618.77,3774.0,10.0
276,L,298.7,309.8,1399.0,24.8,240,1,3633.27,5952.0,11.100000000000023
277,M,298.8,308.2,1565.0,32.3,70,0,5293.53,2261.0,9.399999999999977
278,M,299.1,307.7,1833.0,35.6,241,0,6833.47,8579.6,8.599999999999966
279,M,301.4,311.7,1648.0,40.6,44,0,7006.67,1786.4,10.300000000000011
280,M,301.9,311.9,1251.0,44.9,31,0,5882.1,1391.8999999999999,10.0
281,M,299.8,310.8,1374.0,35.0,27,0,5035.97,945.0,11.0
282,L,299.8,309.4,1360.0,33.0,96,0,4699.82,3168.0,9.599999999999966
283,L,300.9,310.7,1795.0,49.4,237,1,9285.81,11707.8,9.800000000000011
284,L,301.1,311.0,1762.0,45.3,13,0,8358.58,588.9,9.899999999999977
285,L,302.4,312.4,1426.0,43.0,140,0,6421.21,6020.0,10.0
286,L,297.4,307.0,1422.0,18.5,220,0,2754.86,4070.0,9.600000000000023
287,L,300.0,309.5,1545.0,51.9,177,0,8397.01,9186.3,9.5
288,L,297.9,306.0,1551.0,41.7,167,0,6772.93,6963.900000000001,8.100000000000023
289,L,299.9,309.3,1365.0,38.3,128,0,5474.7,4902.4,9.400000000000034
290,L,299.5,310.3,1493.0,31.7,174,0,4956.19,5515.8,10.800000000000011
291,L,299.9,310.8,1277.0,33.6,112,0,4493.23,3763.2000000000003,10.900000000000034
292,L,298.4,307.9,1765.0,31.0,112,0,5729.74,3472.0,9.5
293,M,297.0,308.3,1222.0,20.0,218,0,2559.35,4360.0,11.300000000000011
294,L,295.8,305.8,1220.0,31.8,29,0,4062.71,922.2,10.0
295,L,299.7,308.4,1615.0,24.0,33,0,4058.94,792.0,8.699999999999989
296,L,299.1,307.5,1316.0,39.3,45,1,5415.98,1768.4999999999998,8.399999999999977
297,M,298.6,309.9,1448.0,28.4,0,0,4306.41,0.0,11.299999999999955
298,L,302.6,312.3,1549.0,47.2,161,0,7656.35,7599.200000000001,9.699999999999989
299,M,298.3,307.1,1658.0,23.3,186,0,4045.47,4333.8,8.800000000000011
300,L,302.8,310.6,1498.0,51.8,134,0,8125.88,6941.2,7.800000000000011
301,L,303.2,312.9,1856.0,48.2,192,0,9368.15,9254.400000000001,9.699999999999989
302,L,296.1,306.5,1537.0,29.3,169,0,4715.96,4951.7,10.399999999999977
303,L,300.2,309.5,1751.0,39.0,209,0,7151.21,8151.0,9.300000000000011
304,M,299.2,308.1,1587.0,31.4,226,0,5218.37,7096.4,8.900000000000034
305,M,294.4000000000001,303.85,1919.0,45.7,241,0,9183.74,11013.7,9.449999999999932
306,H,297.1,308.4,1727.0,57.8,18,0,10453.19,1040.3999999999999,11.299999999999955
307,L,301.5,310.2,1545.0,51.7,140,0,8364.65,7238.0,8.699999999999989
308,L,304.0,313.4,1650.0,33.1,22,0,5719.27,728.2,9.399999999999977
309,M,301.8,313.0,1491.0,41.0,65,0,6401.62,2665.0,11.199999999999989
310,L,300.6,311.1,1489.0,55.1,130,0,8591.62,7163.0,10.5
311,L,300.0,310.1,1304.0,45.1,85,0,6158.61,3833.5,10.100000000000023
312,L,303.4,312.7,1393.0,50.0,163,0,7293.73,8150.0,9.300000000000011
313,L,304.3,314.3,1906.0,46.4,176,0,9261.25,8166.4,10.0
314,H,298.8,308.3,1322.0,40.7,199,0,5634.49,8099.3,9.5
315,M,296.0,305.1,1420.0,39.2,86,0,5829.12,3371.2000000000003,9.100000000000023
316,M,295.8,304.7,1521.0,27.8,71,0,4427.95,1973.8,8.899999999999977
317,L,302.6,313.4,1527.0,32.3,184,0,5165.0,5943.2,10.799999999999955
318,L,299.9,309.8,1606.0,30.9,88,0,5196.76,2719.2,9.900000000000034
319,L,300.4,310.7,1454.0,36.4,226,0,5542.36,8226.4,10.300000000000011
320,L,296.4,306.6,1617.0,40.9,191,0,6925.67,7811.9,10.200000000000045
321,L,298.5,308.9,1742.0,38.8,110,0,7077.97,4268.0,10.399999999999977
